단지,계약일,거래금액,층,브랜드,apt_nm,lo,la
bienestar,22.05.24,263000,7,0,bienestar,127.042795,37.50935819
lg선릉에클라트(a),21.05.03,37000,2,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),21.05.24,42000,5,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),21.07.22,35500,6,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),21.09.09,42000,5,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),21.12.17,34800,5,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),21.08.17,40000,6,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),21.05.13,80000,3,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),22.02.21,34800,5,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),22.03.23,34750,5,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),22.04.20,34500,6,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),22.06.11,37500,2,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),22.06.11,37500,2,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),23.01.09,33000,4,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),23.01.09,33000,4,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),23.01.09,33000,4,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),23.03.18,33000,6,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),23.08.26,33000,3,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(a),23.01.10,37500,6,0,lg선릉에클라트(a),127.0511881,37.50656146
lg선릉에클라트(b),21.01.08,36000,15,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.01.12,34000,9,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.01.12,34000,11,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.01.15,33000,14,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.01.16,35000,11,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.01.28,33000,13,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.02.16,34500,10,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.02.22,32750,11,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.03.08,38700,10,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.04.20,36500,9,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.04.21,38500,10,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.04.23,39000,9,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.04.26,32000,13,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.05.27,31000,12,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.05.29,32000,14,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.07.29,39700,12,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.08.11,36000,10,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.08.11,36700,11,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.08.19,39500,15,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.09.17,42000,12,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.11.20,35800,14,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.05.13,38500,11,0,lg선릉에클라트(b),127.0509927,37.50614767
lg선릉에클라트(b),21.06.01,31500,13,0,lg선릉에클라트(b),127.0509927,37.50614767
