법정동코드,아파트명,토지소재지,지번,2021년 개별공시지가,2021년 공시일자,2022년 개별공시지가,2022년 공시일자,2023년 개별공시지가,2023년 공시일자,기준일자,동향,비율
1168010400,현대아파트,서울특별시 강남구 선릉로 748,23번지,19800000,20210531,22770000,20220429,20610000,20230428,01월01일,하락세,0.90513834
1168011400,탄천직원아파트,서울특별시 강남구 개포로 625,580번지,773000,20210531,881000,20220429,807000,20230428,01월01일,하락세,0.91600454
1168010400,청담대림 이-편한세상,서울특별시 강남구 학동로77길 27,30-33번지,18050000,20210531,21100000,20220429,19370000,20230428,01월01일,하락세,0.918009479
1168010400,삼환아파트101동,서울특별시 강남구 학동로77길 49,10번지,17320000,20210531,20250000,20220429,18600000,20230428,01월01일,하락세,0.918518519
1168010400,청담동삼성1차아파트,서울특별시 강남구 삼성로133길 20,33번지,20030000,20210531,23420000,20220429,21530000,20230428,01월01일,하락세,0.919299744
1168010400,휴먼스타빌,서울특별시 강남구 도산대로 454,5-25번지,43430000,20210531,47230000,20220429,43870000,20230428,01월01일,하락세,0.928858776
1168010300,개포6차우성아파트1동~8동,서울특별시 강남구 언주로 3,658-1번지,16860000,20210531,17640000,20220429,16405000,20230428,01월01일,하락세,0.929988662
1168010300,개포주공 5단지,서울특별시 강남구 삼성로4길 17,187번지,16200000,20210531,18260000,20220429,16982000,20230428,01월01일,하락세,0.930010953
1168010300,개포우성3차,서울특별시 강남구 개포로 307,652번지,15840000,20210531,18020000,20220429,16759000,20230428,01월01일,하락세,0.930022198
1168010300,"우성9차아파트 901동, 902동",서울특별시 강남구 개포로 311,651-1번지,15840000,20210531,18020000,20220429,16759000,20220429,01월01일,하락세,0.930022198
1168010300,SH대치1단지 아파트,서울특별시 강남구 개포로109길 5,12번지,14210000,20210531,16020000,20220429,14899000,20230428,01월01일,하락세,0.930024969
1168010300,성원대치2단지일반분양(11개동),서울특별시 강남구 개포로109길 9,12번지,14210000,20210531,16020000,20220429,14899000,20230428,01월01일,하락세,0.930024969
1168010300,삼익대청아파트 301동 ~ 306동,서울특별시 강남구 개포로109길 21,12번지,14210000,20210531,16020000,20220429,14899000,20230428,01월01일,하락세,0.930024969
1168010300,현대,서울특별시 강남구 선릉로18길 12,172-3번지,7488000,20210531,8593000,20220429,7994000,20230428,01월01일,하락세,0.930292098
1168010400,청담 어퍼하우스,서울특별시 강남구 학동로81길 28,64-1번지,12340000,20210531,14060000,20220429,13170000,20230428,01월01일,하락세,0.936699858
1168010400,한신오페라하우스,서울특별시 강남구 삼성로135길 47,35-47번지,10900000,20210531,13520000,20220429,12670000,20230428,01월01일,하락세,0.937130178
1168010400,한신오페라하우스2차,서울특별시 강남구 학동로63길 14,35-48번지,10900000,20210531,13520000,20220429,12670000,20230428,01월01일,하락세,0.937130178
1168010400,BRUNNEN청담,서울특별시 강남구 도산대로99길 68,114-9번지,14060000,20210531,16330000,20220429,15320000,20230428,01월01일,하락세,0.938150643
1168010400,청담대우로얄카운티6차,서울특별시 강남구 압구정로71길 20,101-1번지,13770000,20210531,16170000,20220429,15170000,20230428,01월01일,하락세,0.938157081
1168010400,대우리츠카운티,서울특별시 강남구 도산대로83길 35,117-22번지,14330000,20210531,17380000,20220429,16320000,20230428,01월01일,하락세,0.939010357
1168010400,청담동현대빌라트,서울특별시 강남구 도산대로83길 36,121번지,14330000,20210531,17380000,20220429,16320000,20230428,01월01일,하락세,0.939010357
1168010400,청담CJ빌리지,서울특별시 강남구 도산대로99길 42,111-11번지,14330000,20210531,17380000,20220429,16320000,20230428,01월01일,하락세,0.939010357
1168010400,상지리츠빌9차,서울특별시 강남구 압구정로77길 27,116-10번지,14330000,20210531,17380000,20220429,16320000,20230428,01월01일,하락세,0.939010357
