"","아파트명","도로명주소","geometry","near_station","nearest_station","nearest_distance"
"1","브르넨삼성","서울특별시 강남구 영동대로122길 2",c(127.0594184, 37.516764),FALSE,"삼성",943.574371545015
"2","위레벤646","서울특별시 강남구 영동대로 646",c(127.0578295, 37.5196629),FALSE,"삼성",1294.76026867302
"3","N168","서울특별시 강남구 학동로 168",c(127.029409, 37.51311643),FALSE,"언주",765.573107754428
"4","세곡2지구 도시형생활주택(유현리엔아파트)","서울특별시 강남구 밤고개로21길 56",c(127.11274, 37.47316459),FALSE,"학여울",4554.76327803945
"5","도곡스타클래스","서울특별시 강남구 남부순환로 2615",c(127.035879, 37.48520138),FALSE,"매봉",996.0080826749
"6","럭키(462)","서울특별시 강남구 남부순환로 2740",c(127.0462708, 37.48614909),TRUE,"매봉",121.090204324811
"7","삼성래미안","서울특별시 강남구 남부순환로 2803",c(127.0506487, 37.48978592),FALSE,"매봉",444.1380179822
"8","포이벨리","서울특별시 강남구 양재대로 379",c(127.0552155, 37.47460827),FALSE,"매봉",1572.00314210753
"9","SK허브프리모","서울특별시 강남구 강남대로 240",c(127.0343855, 37.48527638),FALSE,"매봉",1123.55026699781
"10","대우디오빌","서울특별시 강남구 강남대로 256",c(127.0335528, 37.48643263),FALSE,"매봉",1180.70956577881
"11","도곡푸르지오 102동","서울특별시 강남구 강남대로 272",c(127.0328745, 37.4877709),FALSE,"강남",1226.66988531884
"12","역삼디오슈페리움","서울특별시 강남구 강남대로 324",c(127.0309529, 37.49214635),FALSE,"강남",712.966438638295
"13","현대썬앤빌","서울특별시 강남구 도산대로 225",c(127.0313875, 37.52109218),FALSE,"언주",1558.23009872152
"14","청학아파트 에이동,비동,씨동","서울특별시 강남구 도산대로 232",c(127.0327854, 37.52068013),FALSE,"언주",1499.86810127016
"15","휴먼스타빌","서울특별시 강남구 도산대로 454",c(127.0460556, 37.5236842),FALSE,"언주",2122.00659227416
"16","서울개포상록스타힐스아파트","서울특별시 강남구 영동대로 16",c(127.0761319, 37.48822092),FALSE,"학여울",1069.68765479597
"17","디에이치자이개포","서울특별시 강남구 영동대로 22",c(127.0751005, 37.4909925),FALSE,"학여울",756.751303916393
"18","쌍용대치아파트1동, 2동, 3동, 5동, 6동","서울특별시 강남구 영동대로 210",c(127.0710621, 37.4980932),TRUE,"학여울",155.528336734418
"19","쌍용대치2","서울특별시 강남구 영동대로 220",c(127.0708744, 37.49960404),FALSE,"학여울",317.940270416612
"20","대치우성아파트1동, 2동, 3동, 5동, 6동, 7동","서울특별시 강남구 영동대로 230",c(127.0692542, 37.50015644),FALSE,"학여울",394.679110420479
"21","S-TOWER","서울특별시 강남구 영동대로 325",c(127.065533, 37.50334035),FALSE,"삼성",643.778082811516
"22","풍림아이원4차(1007-2)","서울특별시 강남구 영동대로 330-7",c(127.066787, 37.50424198),FALSE,"삼성",599.89518894183
"23","미켈란107","서울특별시 강남구 영동대로 602",c(127.060484, 37.51472139),FALSE,"삼성",697.925917749393
"24","아이파크","서울특별시 강남구 영동대로 640",c(127.0593657, 37.51834807),FALSE,"삼성",1111.48041737779
"25","개포6차우성아파트1동~8동","서울특별시 강남구 언주로 3",c(127.0572181, 37.4761557),FALSE,"매봉",1520.71368166327
"26","쌍용","서울특별시 강남구 언주로 101",c(127.0532734, 37.4810519),FALSE,"매봉",877.459416891087
"27","전화국현대(220)","서울특별시 강남구 언주로 103",c(127.0528944, 37.48133366),FALSE,"매봉",832.000507584734
"28","개포현대200동","서울특별시 강남구 언주로 105",c(127.0526732, 37.48168213),FALSE,"매봉",789.729754198362
"29","현대2","서울특별시 강남구 언주로 107",c(127.0513647, 37.4824657),FALSE,"매봉",649.505431862564
"30","개포경남","서울특별시 강남구 언주로 110",c(127.0541709, 37.48464863),FALSE,"매봉",697.087086787746
"31","우성4","서울특별시 강남구 언주로 117",c(127.0492988, 37.48534961),FALSE,"매봉",288.144838043999
"32","대우디오빌","서울특별시 강남구 언주로 427",c(127.0427291, 37.5014909),FALSE,"역삼",563.344832257652
"33","우성캐릭터199","서울특별시 강남구 언주로 118",c(127.0518809, 37.48663875),FALSE,"매봉",442.02992241897
"34","우성캐릭터빌","서울특별시 강남구 언주로 122",c(127.0510032, 37.48708489),FALSE,"매봉",361.431412052077
"35","한신(개포)","서울특별시 강남구 언주로 123",c(127.0488297, 37.48673183),TRUE,"매봉",174.886049715928
"36","매봉삼성","서울특별시 강남구 언주로 203",c(127.0487309, 37.489173),FALSE,"매봉",279.848417648952
"37","대림역삼","서울특별시 강남구 언주로 316",c(127.0462899, 37.49622804),FALSE,"선릉",908.120817974724
"38","상지리츠빌(1호라인)","서울특별시 강남구 언주로 320",c(127.0459687, 37.49654651),FALSE,"선릉",879.16349391722
"39","상지리츠빌(2호라인)","서울특별시 강남구 언주로 322",c(127.0458853, 37.49673292),FALSE,"선릉",860.657813299463
"40","역삼푸르지오","서울특별시 강남구 언주로 332",c(127.0469425, 37.49790238),FALSE,"선릉",714.905166683705
